State,FarmsE3,AcresE3
AK,1,880
AL,49,"9,000"
AR,49,"13,700"
AZ,16,"26,100"
CA,82,"25,400"
CO,36,"31,200"
CT,5,400
DE,2,490
FL,48,"9,250"
GA,47,"10,300"
HI,8,"1,110"
IA,92,"30,800"
ID,26,"11,400"
IL,76,"26,700"
IN,62,"14,800"
KS,66,"46,200"
KY,86,"14,000"
LA,30,"8,050"
MA,8,520
MD,13,"2,050"
ME,8,"1,350"
MI,55,"10,000"
MN,81,"26,900"
MO,108,"29,100"
MS,42,"11,150"
MT,29,"60,800"
NC,52,"8,600"
ND,32,"39,600"
NE,47,"45,600"
NH,4,470
NJ,10,730
NM,21,"43,200"
NV,3,"5,900"
NY,36,"7,000"
OH,75,"13,700"
OK,87,"35,200"
OR,39,"16,400"
PA,63,"7,750"
RI,1,70
SC,27,"4,900"
SD,32,"43,700"
TN,78,"10,900"
TX,248,"130,400"
UT,17,"11,100"
VA,47,"8,050"
VT,7,"1,220"
WA,40,"14,800"
WI,78,"15,200"
WV,23,"3,650"
WY,11,"30,200"
