Stcd,Cntycd,Office Name,City,ST
01,000,Alabama State USDA Office,Montgomery,AL
01,001,Autauga County USDA Serv Cntr,Autaugaville,AL
01,003,Baldwin County USDA Serv Cntr,Bay Minette,AL
01,005,Barbour County USDA Serv Cntr,Clayton,AL
01,007,Bibb County FSA Office,Marion,AL
01,009,Blount County USDA Serv Cntr,Oneonta,AL
01,011,Bullock County FSA Office,Troy,AL
01,013,Butler County USDA Serv Cntr,Greenville,AL
01,015,Calhoun County USDA Serv Cntr,Anniston,AL
01,017,Chambers County FSA Office,Opelika,AL
01,019,Cherokee County USDA Serv Cntr,Centre,AL
01,021,Chilton County USDA Serv Cntr,Clanton,AL
01,023,Choctaw County FSA Office,Linden,AL
01,025,Clarke County USDA Serv Cntr,Jackson,AL
01,027,Clay County FSA Office,Wedowee,AL
01,029,Cleburne County FSA Office,Anniston,AL
01,031,Coffee County USDA Serv Cntr,New Brockton,AL
01,033,Colbert County USDA Serv Cntr,Tuscumbia,AL
01,035,Conecuh County USDA Serv Cntr,Evergreen,AL
01,037,Coosa County FSA Office,Alexander City,AL
01,039,Covington County USDA Serv Cntr,Andalusia,AL
01,041,Crenshaw County USDA Serv Cntr,Luverne,AL
01,043,Cullman County USDA Serv Cntr,Cullman,AL
01,045,Dale County USDA Serv Cntr,Ozark,AL
01,047,Dallas County USDA Serv Cntr,Selma,AL
01,049,Dekalb County USDA Serv Cntr,Rainsville,AL
01,051,Elmore County USDA Serv Cntr,Wetumpka,AL
01,053,Escambia County USDA Serv Cntr,Brewton,AL
01,055,Etowah County USDA Serv Cntr,Gadsden,AL
01,057,Fayette County USDA Serv Cntr,Fayette,AL
01,059,Franklin County FSA Office,Tuscumbia,AL
01,061,Geneva County USDA Serv Cntr,Geneva,AL
01,063,Greene County USDA Serv Cntr,Eutaw,AL
01,065,Hale County USDA Serv Cntr,Greensboro,AL
01,067,Henry County USDA Serv Cntr,Abbeville,AL
01,069,Houston County USDA Serv Cntr,Dothan,AL
01,071,Jackson County USDA Serv Cntr,Scottsboro,AL
01,073,Jefferson County FSA Office,Oneonta,AL
01,075,Lamar County USDA Serv Cntr,Vernon,AL
01,077,Lauderdale County USDA Serv Cntr,Florence,AL
01,079,Lawrence County USDA Serv Cntr,Moulton,AL
