source,target
software engineer,software developer
senior software developer,software developer
senior software engineer,software developer
programmer,software developer
consultant,software developer
web developer,software developer
programmer analyst,software developer
research assistant,software developer
senior developer,software developer
intern,software developer
team lead,software developer
java developer,software developer
software consultant,software developer
contractor,software developer
project manager,software developer
programmer,senior software engineer
consultant,senior software engineer
software developer,senior software engineer
senior consultant,senior software engineer
senior developer,senior software engineer
technical lead,senior software engineer
project manager,senior software engineer
principal software engineer,senior software engineer
programmer analyst,senior software engineer
team lead,senior software engineer
senior programmer,senior software engineer
senior software developer,senior software engineer
software consultant,senior software engineer
duration,senior software engineer
lead software engineer,senior software engineer
senior software engineer,principal software engineer
consultant,principal software engineer
lead software engineer,principal software engineer
senior engineer,principal software engineer
principal engineer,principal software engineer
systems engineer,principal software engineer
team lead,principal software engineer
web developer,principal software engineer
system analyst,principal software engineer
contractor,principal software engineer
senior consultant,principal software engineer
software consultant,principal software engineer
manager,principal software engineer
software developer,principal software engineer
senior software developer,principal software engineer
software engineer,team lead
project manager,team lead
senior software engineer,team lead
developer,team lead
consultant,team lead
manager,team lead
team member,team lead
senior developer,team lead
software developer,team lead
programmer,team lead
project lead,team lead
programmer analyst,team lead
assistant manager,team lead
business analyst,team lead
customer service representative,team lead
software engineer,duration
senior software engineer,duration
team size,duration
client,duration
senior consultant,duration
team lead,duration
oracle hrms consultant,duration
functional consultant,duration
project description,duration
"role	developer",duration
technical consultant,duration
project manager,duration
project name,duration
associate,duration
technical lead,duration
intern,associate
senior associate,associate
attorney,associate
law clerk,associate
consultant,associate
vice president,associate
manager,associate
analyst,associate
summer associate,associate
sales associate,associate
legal intern,associate
director,associate
project manager,associate
contract attorney,associate
assistant manager,associate
law clerk,summer associate
intern,summer associate
legal intern,summer associate
attorney,summer associate
associate attorney,summer associate
research assistant,summer associate
contract attorney,summer associate
consultant,summer associate
litigation associate,summer associate
student attorney,summer associate
corporate associate,summer associate
analyst,summer associate
senior associate,summer associate
judicial intern,summer associate
legal assistant,summer associate
software engineer,software consultant
senior software engineer,software consultant
programmer,software consultant
senior programmer,software consultant
software developer,software consultant
senior consultant,software consultant
programmer analyst,software consultant
senior developer,software consultant
project manager,software consultant
senior software consultant,software consultant
project lead,software consultant
systems analyst,software consultant
system analyst,software consultant
technical lead,software consultant
duration,software consultant
law clerk,associate attorney
contract attorney,associate attorney
legal intern,associate attorney
intern,associate attorney
staff attorney,associate attorney
partner,associate attorney
legal assistant,associate attorney
senior attorney,associate attorney
document review attorney,associate attorney
summer associate,associate attorney
research assistant,associate attorney
senior associate attorney,associate attorney
