"Date","DJIA","home_index","maturity_10yr","yesterday_dj","heavy_snow"
1990-01-03,2809.73,76.5338709677419,7.99,2810.15,0
1990-01-04,2796.08,76.5358064516129,7.98,2809.73,0
1990-01-05,2773.25,76.5377419354839,7.99,2796.08,0
1990-01-08,2794.37,76.5435483870968,8.02,2773.25,0
1990-01-09,2766,76.5454838709677,8.02,2794.37,0
1990-01-10,2750.64,76.5474193548387,8.03,2766,0
1990-01-11,2760.67,76.5493548387097,8.04,2750.64,0
1990-01-12,2689.21,76.5512903225806,8.1,2760.67,0
1990-01-15,2669.37,76.5570967741936,8.15,2689.21,0
1990-01-16,2692.62,76.5590322580645,8.2,2669.37,0
1990-01-17,2659.13,76.5609677419355,8.19,2692.62,0
1990-01-18,2666.38,76.5629032258065,8.32,2659.13,0
1990-01-19,2677.9,76.5648387096774,8.26,2666.38,0
1990-01-22,2600.45,76.5706451612903,8.27,2677.9,0
1990-01-23,2615.32,76.5725806451613,8.26,2600.45,0
1990-01-24,2604.5,76.5745161290323,8.38,2615.32,0
1990-01-25,2561.04,76.5764516129032,8.42,2604.5,0
1990-01-26,2559.23,76.5783870967742,8.49,2561.04,0
1990-01-29,2553.38,76.5841935483871,8.5,2559.23,0
1990-01-30,2543.24,76.5861290322581,8.51,2553.38,0
1990-01-31,2590.54,76.588064516129,8.43,2543.24,0
1990-02-01,2586.26,76.59,8.42,2590.54,0
1990-02-02,2602.7,76.5971428571429,8.5,2586.26,0
1990-02-05,2622.52,76.6185714285714,8.53,2602.7,0
1990-02-06,2606.31,76.6257142857143,8.57,2622.52,0
1990-02-07,2640.09,76.6328571428571,8.52,2606.31,0
1990-02-08,2644.37,76.64,8.49,2640.09,0
1990-02-09,2648.2,76.6471428571429,8.31,2644.37,0
1990-02-12,2619.14,76.6685714285714,8.4,2648.2,0
1990-02-13,2624.1,76.6757142857143,8.35,2619.14,0
1990-02-14,2624.32,76.6828571428571,8.36,2624.1,0
1990-02-15,2649.55,76.69,8.43,2624.32,0
1990-02-16,2635.59,76.6971428571429,8.42,2649.55,0
1990-02-20,2596.85,76.7257142857143,8.62,2635.59,0
1990-02-21,2583.56,76.7328571428571,8.62,2596.85,0
1990-02-22,2574.77,76.74,8.54,2583.56,0
1990-02-23,2564.19,76.7471428571429,8.53,2574.77,0
1990-02-26,2602.48,76.7685714285714,8.46,2564.19,0
1990-02-27,2617.12,76.7757142857143,8.41,2602.48,0
1990-02-28,2627.25,76.7828571428572,8.51,2617.12,0
1990-03-01,2635.59,76.79,8.59,2627.25,0
1990-03-02,2660.36,76.798064516129,8.54,2635.59,0
1990-03-05,2649.55,76.8222580645161,8.65,2660.36,0
1990-03-06,2676.8,76.8303225806452,8.59,2649.55,0
1990-03-07,2669.59,76.8383870967742,8.58,2676.8,0
1990-03-08,2696.17,76.8464516129032,8.57,2669.59,0
1990-03-09,2683.33,76.8545161290323,8.65,2696.17,0
1990-03-12,2686.71,76.8787096774194,8.63,2683.33,0
1990-03-13,2674.55,76.8867741935484,8.73,2686.71,0
1990-03-14,2687.84,76.8948387096774,8.65,2674.55,0
1990-03-15,2695.72,76.9029032258065,8.66,2687.84,0
1990-03-16,2741.22,76.9109677419355,8.59,2695.72,0
1990-03-19,2755.63,76.9351612903226,8.59,2741.22,0
1990-03-20,2738.74,76.9432258064516,8.54,2755.63,0
1990-03-21,2727.93,76.9512903225806,8.55,2738.74,0
1990-03-22,2695.72,76.9593548387097,8.53,2727.93,0
1990-03-23,2704.28,76.9674193548387,8.52,2695.72,0
1990-03-26,2707.66,76.9916129032258,8.51,2704.28,0
1990-03-27,2736.94,76.9996774193548,8.52,2707.66,0
1990-03-28,2743.69,77.0077419354839,8.51,2736.94,0
1990-03-29,2727.7,77.0158064516129,8.6,2743.69,0
1990-03-30,2707.21,77.0238709677419,8.65,2727.7,0
1990-04-02,2700.45,77.0486666666667,8.65,2707.21,0
1990-04-03,2736.71,77.0573333333333,8.63,2700.45,0
1990-04-04,2719.37,77.066,8.55,2736.71,0
1990-04-05,2721.17,77.0746666666667,8.57,2719.37,0
1990-04-06,2717.12,77.0833333333333,8.56,2721.17,0
1990-04-09,2722.07,77.1093333333333,8.59,2717.12,0
1990-04-10,2731.08,77.118,8.6,2722.07,0
1990-04-11,2729.73,77.1266666666667,8.63,2731.08,0
1990-04-12,2751.8,77.1353333333333,8.64,2729.73,0
1990-04-16,2763.06,77.17,8.68,2751.8,0
1990-04-17,2765.77,77.1786666666667,8.77,2763.06,0
1990-04-18,2732.88,77.1873333333333,8.86,2765.77,0
1990-04-19,2711.94,77.196,8.87,2732.88,0
1990-04-20,2695.95,77.2046666666667,8.95,2711.94,0
1990-04-23,2666.67,77.2306666666667,8.98,2695.95,0
1990-04-24,2654.5,77.2393333333333,9,2666.67,0
1990-04-25,2666.44,77.248,9.01,2654.5,0
1990-04-26,2676.58,77.2566666666667,9.07,2666.44,0
1990-04-27,2645.05,77.2653333333333,9.06,2676.58,0
1990-04-30,2656.76,77.2913333333333,9.04,2645.05,0
1990-05-01,2668.92,77.3,9.08,2656.76,0
1990-05-02,2689.64,77.3064516129032,9.09,2668.92,0
1990-05-03,2696.17,77.3129032258065,9.04,2689.64,0
1990-05-04,2710.36,77.3193548387097,8.84,2696.17,0
1990-05-07,2721.62,77.3387096774194,8.87,2710.36,0
1990-05-08,2733.56,77.3451612903226,8.84,2721.62,0
1990-05-09,2732.88,77.3516129032258,8.88,2733.56,0
1990-05-10,2738.51,77.358064516129,8.82,2732.88,0
1990-05-11,2801.58,77.3645161290323,8.64,2738.51,0
1990-05-14,2821.53,77.3838709677419,8.61,2801.58,0
1990-05-15,2822.45,77.3903225806452,8.65,2821.53,0
1990-05-16,2819.68,77.3967741935484,8.68,2822.45,0
1990-05-17,2831.71,77.4032258064516,8.69,2819.68,0
1990-05-18,2819.91,77.4096774193548,8.75,2831.71,0
1990-05-21,2844.68,77.4290322580645,8.74,2819.91,0
1990-05-22,2852.23,77.4354838709677,8.65,2844.68,0
1990-05-23,2856.26,77.441935483871,8.61,2852.23,0
1990-05-24,2855.55,77.4483870967742,8.63,2856.26,0
1990-05-25,2820.92,77.4548387096774,8.69,2855.55,0
1990-05-29,2870.49,77.4806451612903,8.66,2820.92,0
1990-05-30,2878.56,77.4870967741935,8.62,2870.49,0
1990-05-31,2876.66,77.4935483870968,8.6,2878.56,0
1990-06-01,2900.97,77.5,8.44,2876.66,0
1990-06-04,2935.19,77.506,8.44,2900.97,0
1990-06-05,2925,77.508,8.47,2935.19,0
