 x   y     v      u  t 
 11   8    0.0    NA  2
  8  30    0.0    NA  2
  9  48  224.4    NA  2
  8  68  434.4    NA  2
  9  90  412.1    NA  2
 10 110  587.2    NA  2
  9 129  192.3    NA  2
 11 150   31.3    NA  2
 10 170  388.5    NA  2
  8 188  174.6    NA  2
  9 209  187.8    NA  2
 10 231   82.1    NA  1
 11 250   81.1    NA  1
 10 269  124.3    NA  2
  8 288  188.0    NA  2
 31  11   28.7    NA  2
 29  29   78.1    NA  2
 28  51  292.1    NA  2
 31  68  895.2    NA  2
 28  88  702.6    NA  2
 30 110  490.3    NA  2
 28 130  136.1    NA  2
 28 150  335.0    NA  2
 30 171  277.0    NA  2
 28 190  206.1    NA  2
 31 209   24.5    NA  2
 28 229  198.1    NA  2
 30 250   60.3    NA  2
 31 269  312.6    NA  2
 31 289  240.9    NA  2
 49  11  653.3    NA  2
 49  29   96.4    NA  2
 51  48  105.0    NA  2
 49  68   37.8    NA  2
 50  88  820.8    NA  2
 51 109  450.7    NA  2
 48 129  190.4    NA  2
 49 151  773.3    NA  2
 51 168  971.9    NA  2
 48 190  762.4    NA  2
 50 211  968.3    NA  2
 49 231  394.7    NA  2
 51 250  343.0    NA  2
 50 268  863.8    NA  2
 51 290  159.6    NA  1
 71   9  445.8    NA  2
 71  29  673.3    NA  2
 70  51  252.6    NA  2
 68  70  537.5    NA  2
 69  90    0.0    NA  2
 68 110  329.1    NA  2
 68 128  646.3    NA  2
 69 148  616.2    NA  2
 69 169  761.3    NA  2
 70 191  918.0    NA  2
 69 208   97.4    NA  1
 69 229    0.0    NA  1
 68 250    0.0    NA  1
 71 268    0.0    NA  1
 71 288    2.4    NA  1
 91  11  368.3    NA  2
 91  29   91.6    NA  2
 90  49  654.7    NA  2
 91  68  645.5    NA  2
 91  91  907.2    NA  2
 91 111  826.3    NA  2
 89 130  975.3    NA  2
 88 149  551.1    NA  2
 89 170  155.5    NA  1
 89 188   10.7    NA  1
 90 211    0.0    NA  1
 90 230    0.0    NA  1
 88 249    0.0    NA  1
 88 269   12.1    NA  1
 88 288   62.2    NA  1
109  11  399.6    NA  2
111  31  176.6    NA  2
108  49  402.0    NA  2
109  68  260.6    NA  2
108  88  192.0    NA  2
110 109  237.6    NA  2
109 129  702.0    NA  2
110 148   38.5    NA  2
111 169   22.1    NA  1
