Obs No.,Buy,Income,Is Female,Is Married,Has College,Is Professional,Is Retired,Unemployed,Residence Length,Dual Income,Minors,Own,House,White,English,Prev Child Mag,Prev Parent Mag
1,0,24000,1,0,1,1,0,0,26,0,0,0,1,0,0,0,0
2,1,75000,1,1,1,1,0,0,15,1,0,1,1,1,1,1,0
3,0,46000,1,1,0,0,0,0,36,1,1,1,1,1,1,0,0
4,1,70000,0,1,0,1,0,0,55,0,0,1,1,1,1,1,0
5,0,43000,1,0,0,0,0,0,27,0,0,0,0,1,1,0,1
6,0,24000,1,1,0,0,0,0,41,0,0,1,1,0,0,0,0
7,0,26000,1,1,1,0,1,0,20,0,1,1,1,1,1,0,0
8,0,38000,1,1,0,0,1,0,8,0,0,1,1,1,1,0,0
9,0,39000,1,0,1,1,0,0,17,0,0,0,0,1,1,0,0
10,0,49000,0,1,0,0,1,0,31,0,0,1,1,1,1,0,0
11,1,75000,1,0,1,0,0,0,13,1,0,0,0,1,1,0,1
12,0,31000,1,0,1,0,1,0,51,0,0,0,0,1,1,0,0
13,0,10000,0,0,0,0,0,0,6,0,0,0,0,1,1,0,0
14,0,22000,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0
15,0,39000,0,1,0,0,0,0,24,0,0,1,1,0,0,0,0
16,0,2000,0,1,0,0,0,1,52,1,1,0,1,0,1,0,0
17,1,75000,0,0,0,0,0,0,9,0,0,0,1,1,1,1,0
18,1,69000,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0
19,1,60000,1,1,0,1,0,0,6,1,0,0,0,1,1,1,1
20,0,12000,1,0,0,0,0,0,22,0,0,0,0,1,1,0,0
21,0,42000,1,1,0,0,0,0,46,1,0,1,1,1,1,0,1
22,0,4000,1,0,0,0,0,0,15,0,1,0,1,1,1,0,0
23,0,75000,0,0,0,0,0,0,12,0,1,0,1,1,1,0,0
24,1,45000,1,1,1,0,0,0,20,1,1,1,1,1,1,0,1
25,0,21000,1,0,1,0,0,0,2,0,0,0,0,1,1,0,0
26,1,75000,1,0,1,1,0,0,16,0,0,1,1,0,1,0,0
27,0,23000,0,0,1,1,0,0,2,0,0,0,0,0,1,0,0
28,0,38000,0,0,0,0,1,0,33,0,0,1,1,1,1,0,0
29,0,12000,1,0,0,0,0,0,5,0,0,0,0,1,1,0,0
30,0,46000,1,1,0,0,0,0,16,0,0,1,1,1,1,1,0
31,0,50000,1,1,0,1,0,0,7,1,1,1,1,0,1,0,1
32,0,46000,0,0,0,0,0,0,17,0,1,0,1,1,1,0,0
33,1,75000,0,1,0,1,0,0,36,1,0,1,1,1,1,0,1
34,0,4000,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0
35,0,33000,1,1,0,0,0,0,43,0,0,0,1,0,1,1,0
36,0,26000,0,0,0,0,0,0,33,0,0,0,0,1,1,0,0
37,1,75000,0,0,0,1,0,0,12,1,0,1,1,1,1,0,0
38,0,33000,1,1,1,1,0,0,15,0,0,1,1,1,1,0,0
39,0,4000,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
40,0,49000,0,1,0,0,0,0,10,1,1,1,1,1,1,0,0
41,0,21000,1,1,0,0,0,0,20,1,1,0,0,0,1,0,0
42,0,20000,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0
43,0,15000,0,1,0,0,0,0,3,1,0,0,0,1,1,0,0
44,0,25000,0,0,0,1,0,0,23,0,0,0,0,0,1,0,0
45,0,40000,0,1,1,0,1,0,13,0,0,1,1,1,1,0,0
46,1,75000,1,1,1,1,0,0,12,1,0,1,1,1,1,0,0
47,0,33000,1,1,0,0,0,0,20,1,0,1,1,0,1,0,0
48,0,10000,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0
